actual_price,predicted_price,confidence,direction,equity
161.96,161.06409,0.83194226,1,1009.9481800501651
161.35,162.67096,0.7958081,0,1008.9800974739832
161.58,162.04611,0.8076345,1,1009.3451122158223
162.67,162.88408,0.79983073,1,1011.074964688016
162.22,163.50197,0.7602148,0,1010.3608054105048
161.89,164.04631,0.762206,1,1009.8370886069965
161.82,163.6478,0.79288054,1,1009.7259971638282
162.06,162.89685,0.8033988,0,1010.1068821118342
162.66,164.64157,0.7689563,1,1011.0590944818491
162.91,165.16695,0.73246455,0,1011.455849636022
162.8,165.44334,0.7362724,0,1011.2812773681859
162.04,165.36633,0.6924473,0,1010.0751416995004
160.93,165.31705,0.74397266,1,1008.3135488149727
162.67,163.01682,0.76715684,1,1011.074964688016
163.08,164.40811,0.7355831,0,1011.7256431408596
162.54,165.14656,0.7162158,1,1010.8686520078461
162.57,164.23036,0.74797547,0,1010.9162626263469
160.56,165.30463,0.74123657,1,1007.7263511867968
160.8,162.11195,0.8144165,1,1008.1072361348029
161.15,163.91254,0.78674877,1,1008.6626933506449
161.63,163.89989,0.76741433,1,1009.4244632466568
162.8,164.91373,0.74605286,1,1011.2812773681859
164.91,165.70027,0.71935195,1,1014.629890869405
167.11,170.1496,0.50624967,1,1018.1213362261265
167.52,173.21579,0.37181428,1,1018.1213362261265
166.79,172.48654,0.44714978,0,1018.1213362261265
165.71,170.32939,0.52164495,0,1018.1213362261265
167.25,171.16747,0.57922274,1,1018.1213362261265
167.46,170.96365,0.4870258,0,1018.1213362261265
167.38,170.06584,0.56948906,0,1018.1213362261265
167.58,168.25163,0.60784066,0,1018.1213362261265
166.53,168.90822,0.61608887,0,1018.1213362261265
166.93,167.01762,0.64087486,0,1018.1213362261265
167.93,167.63208,0.6502524,0,1018.1213362261265
166.71,168.67796,0.5964375,0,1018.1213362261265
163.96,166.96169,0.6339816,0,1018.1213362261265
165.26,166.83203,0.6829356,1,1018.1213362261265
164.35,166.94173,0.66054857,0,1018.1213362261265
162.72,166.46323,0.7006212,0,1018.1213362261265
164.3,164.65074,0.7194088,1,1018.1213362261265
162.96,165.65543,0.7411541,0,1018.1213362261265
162.51,164.08864,0.7678621,1,1018.1213362261265
162.3,163.1545,0.77158517,0,1018.1213362261265
162.21,162.11588,0.8127715,0,1018.1213362261265
161.4,161.39993,0.8272415,0,1018.1213362261265
161.11,160.42468,0.8393831,0,1018.1213362261265
160.58,160.44647,0.84182954,0,1018.1213362261265
159.15,159.99582,0.8401621,0,1018.1213362261265
160.11,160.41174,0.8443219,1,1018.1213362261265
160.26,159.97588,0.84112006,0,1018.3597944742588
160.4,159.53227,0.85542166,1,1018.5823555058491
159.54,159.10129,0.85753775,0,1017.2151948832233
159.23,158.17494,0.86453325,0,1016.7223811704163
159.09,158.36934,0.85671806,1,1016.4998201388261
159.55,157.92091,0.85755455,1,1017.2310920997654
159.86,158.87314,0.8548829,1,1017.7239058125724
159.92,158.83081,0.85313565,1,1017.8192891118254
161.24,158.97202,0.839983,1,1019.9177216953906
157.77,160.78079,0.78981835,0,1014.4013875552608
160.47,157.6761,0.84209,1,1018.6936360216441
160.97,159.77826,0.80666125,1,1019.4884968487522
162.81,160.14796,0.8120003,1,1022.4135846925097
161.88,161.43756,0.76766056,0,1020.9351435540889
160.22,160.93767,0.76480716,0,1018.2962056080902
160.69,160.38333,0.7744329,1,1019.0433747855717
161.92,161.55745,0.76069164,1,1020.9987324202575
162.54,162.65097,0.74481153,1,1021.9843598458714
163.98,161.9399,0.7642215,1,1024.2735590279426
164.75,164.54504,0.6978031,1,1025.4976447016888
163.91,165.26779,0.65417135,0,1024.1622785121474
162.08,165.13823,0.6998254,1,1021.253087884932
162.5,165.127,0.7305392,1,1021.9207709797028
162.49,164.3101,0.74810636,1,1021.9048737631606
163.18,164.91443,0.7524624,1,1023.0017817045697
164.12,165.69382,0.7290894,1,1024.4961200595328
164.05,167.16542,0.6965523,1,1024.3848395437376
165.52,165.248,0.7446699,1,1026.7217303754353
167.28,169.49619,0.57063174,1,1029.5196404868555
166.02,170.89221,0.4816041,0,1029.5196404868555
166.66,170.73666,0.53518724,1,1029.5196404868555
166.62,172.25122,0.4912402,1,1029.5196404868555
167.27,171.14781,0.5290504,1,1029.5196404868555
167.57,171.99944,0.49908516,1,1029.5196404868555
168.45,173.04927,0.4620148,1,1029.5196404868555
172.56,173.08835,0.46997264,1,1029.5196404868555
173.64,177.08609,0.2887009,0,1029.5196404868555
173.37,177.6238,0.32456747,0,1029.5196404868555
174.16,177.98499,0.3527339,1,1029.5196404868555
174.67,177.92636,0.37327337,0,1029.5196404868555
174.46,178.32333,0.38596255,0,1029.5196404868555
173.8,176.83252,0.4451726,0,1029.5196404868555
173.63,177.04373,0.41327024,1,1029.5196404868555
172.99,175.93301,0.44532683,1,1029.5196404868555
171.48,174.56178,0.38984022,0,1029.5196404868555
171.33,174.03635,0.4793038,1,1029.5196404868555
169.54,173.7724,0.45864463,1,1029.5196404868555
171.32,173.6329,0.46997517,1,1029.5196404868555
172.01,173.87392,0.488967,1,1029.5196404868555
173.87,174.9082,0.4606088,1,1029.5196404868555
174.02,174.68663,0.39182943,0,1029.5196404868555
173.69,174.74637,0.4477328,0,1029.5196404868555
177.18,175.5625,0.40812844,1,1029.5196404868555
176.34,177.04358,0.3072949,0,1029.5196404868555
176.17,177.0855,0.30480608,0,1029.5196404868555
176.77,176.66672,0.31350282,0,1029.5196404868555
174.35,177.3932,0.3107009,0,1029.5196404868555
174.86,178.1603,0.33250085,1,1029.5196404868555
174.13,177.31313,0.30089334,1,1029.5196404868555
172.85,177.10709,0.33081138,1,1029.5196404868555
174.22,176.9924,0.39776117,1,1029.5196404868555
174.78,177.9206,0.35058987,1,1029.5196404868555
173.05,178.23705,0.39184326,1,1029.5196404868555
173.5,177.71797,0.35554928,1,1029.5196404868555
175.5,177.53816,0.41470385,1,1029.5196404868555
175.49,179.13733,0.34496635,1,1029.5196404868555
